,school_name,school_id,num_sitters,average_300,grade,region_name,council_name,num_sitters_girls,num_sitters_boys,ratio_sitters_girls_boys,pct_passed,approx_marks_SD_300
342,KILIMAMOJA,PS0103026,38,189.8684,B,Arusha,Karatu,23,15,1.5333333333333334,0.9736842105263158,37.10194554037411
343,KILIMATEMBO,PS0103027,53,158.1321,C,Arusha,Karatu,35,18,1.9444444444444444,0.9056603773584906,33.04419513809757
344,KINIHHE,PS0103073,87,167.4598,C,Arusha,Karatu,44,43,1.0232558139534884,0.9195402298850575,36.73991890170263
345,KISIMANGEDA,PS0103105,39,164.7949,C,Arusha,Karatu,19,20,0.95,1.0,24.22771653542095
346,KITETE KCU,PS0103028,64,160.5313,C,Arusha,Karatu,28,36,0.7777777777777778,0.984375,22.5
347,KITETE W/S,PS0103029,49,134.7959,C,Arusha,Karatu,31,18,1.7222222222222223,0.5918367346938775,39.38740086548966
348,LAGHANGARERY,PS0103030,45,142.5111,C,Arusha,Karatu,29,16,1.8125,0.7111111111111111,41.611964091539285
349,LAJA,PS0103031,33,108.8485,D,Arusha,Karatu,17,16,1.0625,0.30303030303030304,27.574092523823822
350,LOSITETE,PS0103032,99,129.798,C,Arusha,Karatu,64,35,1.8285714285714285,0.6161616161616161,37.80668710341784
351,MAGESHO,PS0103060,27,157.2963,C,Arusha,Karatu,14,13,1.0769230769230769,1.0,11.331154474650631
352,MAHHAHHA,PS0103077,56,102.9643,D,Arusha,Karatu,29,27,1.0740740740740742,0.30357142857142855,31.05637335383604
353,MAKHOROMBA,PS0103048,75,101.4533,D,Arusha,Karatu,35,40,0.875,0.26666666666666666,31.144249692180562
354,MANG'OLA BARAZANI,PS0103068,109,153.6789,C,Arusha,Karatu,54,55,0.9818181818181818,0.7706422018348624,44.1459557020581
355,MANG'OLA CHINI,PS0103033,109,164.6239,C,Arusha,Karatu,52,57,0.9122807017543859,0.908256880733945,35.91070712833944
356,MANG'OLA JUU,PS0103034,64,123.75,C,Arusha,Karatu,36,28,1.2857142857142858,0.484375,33.527915141714374
357,MANG'OLA NT,PS0103035,83,140.8313,C,Arusha,Karatu,33,50,0.66,0.6626506024096386,38.45620070825172
358,MANUSAY,PS0103103,21,147.381,C,Arusha,Karatu,7,14,0.5,0.8571428571428571,36.62648540478019
359,MARAR,PS0103101,23,137.3913,C,Arusha,Karatu,9,14,0.6428571428571429,0.6521739130434783,42.06395346938373
360,MARERA,PS0103056,45,127.4667,C,Arusha,Karatu,24,21,1.1428571428571428,0.6,35.77708763999664
361,MARMO,PS0103094,47,185.0213,B,Arusha,Karatu,20,27,0.7407407407407407,0.9574468085106383,37.71994725012598
362,MASABEDA,PS0103052,25,152.76,C,Arusha,Karatu,16,9,1.7777777777777777,0.96,16.97056274847714
363,MATALA,PS0103069,50,149.52,C,Arusha,Karatu,23,27,0.8518518518518519,0.78,40.6762830160279
364,MBUGANYEKUNDU,PS0103070,101,140.6337,C,Arusha,Karatu,56,45,1.2444444444444445,0.7029702970297029,37.66068065587735
365,MBULUMBULU,PS0103036,82,143.939,C,Arusha,Karatu,42,40,1.05,0.7317073170731707,39.32203563671533
366,MBUYUNI,PS0103109,59,128.5254,C,Arusha,Karatu,32,27,1.1851851851851851,0.6779661016949152,32.10767947098021
367,MCHANGANI,PS0103095,37,164.3243,C,Arusha,Karatu,19,18,1.0555555555555556,0.918918918918919,36.54949514459884
368,MEALI,PS0103057,41,184.7317,B,Arusha,Karatu,24,17,1.411764705882353,0.9512195121951219,37.69537642637668
369,MENDAY,PS0103049,44,134.2273,C,Arusha,Karatu,29,15,1.9333333333333333,0.75,32.03820033946563
370,MIDABINI,PS0103045,34,138.5882,C,Arusha,Karatu,13,21,0.6190476190476191,0.7058823529411765,43.99484932203442
371,MIKOCHENI,PS0103064,43,139.6512,C,Arusha,Karatu,25,18,1.3888888888888888,0.7441860465116279,34.064806369489396
372,MOHEDAGEW,PS0103096,14,93.1429,D,Arusha,Karatu,4,10,0.4,0.21428571428571427,24.61955419944869
373,MURUS,PS0103102,33,105.0909,D,Arusha,Karatu,17,16,1.0625,0.21212121212121213,29.653648055091075
374,NJIAPANDA,PS0103046,83,188.5904,B,Arusha,Karatu,52,31,1.6774193548387097,0.9879518072289156,33.19090175787113
375,NJORO,PS0103089,15,135.6,C,Arusha,Karatu,4,11,0.36363636363636365,0.7333333333333333,26.5329983228432
376,OLDEANI,PS0103037,89,173.0787,C,Arusha,Karatu,45,44,1.0227272727272727,1.0,30.335529506847255
377,QANGDEND,PS0103038,98,151.3367,C,Arusha,Karatu,57,41,1.3902439024390243,0.8877551020408163,31.497267988233766
378,QARU,PS0103039,77,137.3636,C,Arusha,Karatu,41,36,1.1388888888888888,0.7142857142857143,32.967577872165464
379,QARU SARAMAY,PS0103062,44,121.75,C,Arusha,Karatu,25,19,1.3157894736842106,0.45454545454545453,34.94034679925887
380,QARULAMBO,PS0103050,85,127.5647,C,Arusha,Karatu,43,42,1.0238095238095237,0.5529411764705883,41.37699074753745
381,QURUS,PS0103040,29,144.0,C,Arusha,Karatu,19,10,1.9,0.6896551724137931,42.70296711837992
382,RHOTIA,PS0103041,62,158.9516,C,Arusha,Karatu,33,29,1.1379310344827587,0.8709677419354839,38.613300091271725
383,SABASABA,PS0103082,33,122.0606,C,Arusha,Karatu,16,17,0.9411764705882353,0.5454545454545454,33.44749047262645
384,SHANGIT,PS0103061,72,115.0139,D,Arusha,Karatu,36,36,1.0,0.4583333333333333,34.60977469079185
385,SHAURIAWAKI,PS0103079,42,111.5714,D,Arusha,Karatu,22,20,1.1,0.38095238095238093,32.23004049336708
386,SLAHHAMO,PS0103044,51,156.9412,C,Arusha,Karatu,20,31,0.6451612903225806,0.8823529411764706,34.13792500834566
